player_name,first_name,last_name,college,position,combine_year,height_inches,weight_lbs,hand_size_inches,arm_length_inches,40_yard_dash,bench_press_reps,vertical_leap_inches,broad_jump_inches,3_cone_drill,20_yard_shuttle,hand_size_inches_missed,arm_length_inches_missed,40_yard_dash_missed,bench_press_reps_missed,vertical_leap_inches_missed,broad_jump_inches_missed,3_cone_drill_missed,20_yard_shuttle_missed,round,pick,team,draft_status,draft_value
davon_godchaux,davon,godchaux,louisiana_state,dl,2017,75.13,310,10.25,32.38,5.27,18,,,,4.43,0,0,0,0,1,1,1,0,13,337,udfa,0,5
kenny_golladay,kenny,golladay,northern_illinois,wr,2017,75.75,218,9.75,32,4.5,18,35.5,120,7,4.15,0,0,0,0,0,0,0,0,3,96,det,1,2
zane_gonzalez,zane,gonzalez,arizona_state,k_p,2017,72.25,202,9,29.5,,,,,,,0,0,1,1,1,1,1,1,7,224,cle,1,3
evan_goodman,evan,goodman,arizona_state,ol,2017,76,306,,,,,,,,4.81,1,1,1,1,1,1,1,0,13,337,udfa,0,5
shaquill_griffin,shaquill,griffin,central_florida,db,2017,71.75,194,8.75,32.38,4.38,17,38.5,132,6.87,4.14,0,0,0,0,0,0,0,0,3,90,sea,1,2
nate_hairston,nate,hairston,temple,lb,2017,71.88,196,9.5,31,4.52,14,35.5,118,,4.45,0,0,0,0,0,0,1,0,5,158,ind,1,3
daeshon_hall,daeshon,hall,texas_a&m,dl,2017,77.38,266,9.63,35,4.76,18,36,123,7.03,4.63,0,0,0,0,0,0,0,0,3,77,car,1,2
chad_hansen,chad,hansen,california,wr,2017,73.75,202,10.13,32.13,4.53,11,35,119,6.74,4.13,0,0,0,0,0,0,0,0,4,141,nyj,1,3
sean_harlow,sean,harlow,oregon_state,ol,2017,76.13,303,9.5,32,5.15,26,30.5,105,8.16,4.81,0,0,0,0,0,0,0,0,4,136,atl,1,3
charles_harris,charles,harris,missouri,dl,2017,74.63,253,9.63,32.38,4.82,21,32,109,7.47,4.56,0,0,0,0,0,0,0,0,1,22,mia,1,1
connor_harris,connor,harris,lindenwood_mo,lb,2017,71,242,9.38,30.13,4.73,18,33,114,7.13,4.18,0,0,0,0,0,0,0,0,13,337,udfa,0,5
josh_harvey-clemons,josh,harvey-clemons,louisville,db,2017,76.13,217,10.38,35.38,,12,31.5,121,,,0,0,1,0,0,0,1,1,7,230,was,1,3
keon_hatcher,keon,hatcher,arkansas,wr,2017,73.25,212,9.5,32,4.64,16,,,,4.28,0,0,0,0,1,1,1,0,13,337,udfa,0,5
carlos_henderson,carlos,henderson,louisiana_tech,wr,2017,70.75,199,9.13,31.38,4.46,13,36,131,7.18,4.35,0,0,0,0,0,0,0,0,3,82,den,1,2
deangelo_henderson,deangelo,henderson,coastal_carolina_sc,rb,2017,67.5,208,9.5,29,4.48,20,34,120,,,0,0,0,0,0,0,1,1,13,337,udfa,0,5
trey_hendrickson,trey,hendrickson,florida_atlantic,dl,2017,75.88,266,9.88,32,4.65,,33.5,122,7.03,4.4,0,0,0,1,0,0,0,0,3,103,no,1,2
jordan_herdman,jordan,herdman,simon_fraser_canada,lb,2017,71,238,8.13,29.88,,,,,,,0,0,1,1,1,1,1,1,13,337,udfa,0,5
cole_hikutini,cole,hikutini,louisville,fb_te,2017,76.13,247,10,32.75,,20,,,,4.34,0,0,1,0,1,1,1,0,13,337,udfa,0,5
brian_hill,brian,hill,wyoming,rb,2017,72.63,219,8.88,31.38,4.54,15,34,125,7.03,4.32,0,0,0,0,0,0,0,0,5,156,atl,1,3
delano_hill,delano,hill,michigan,db,2017,72.63,216,9.38,32.13,4.47,17,33.5,115,6.96,4.27,0,0,0,0,0,0,0,0,3,95,sea,1,2
bucky_hodges,bucky,hodges,virginia_tech,fb_te,2017,78.13,257,10.13,32.5,4.57,18,39,134,,4.45,0,0,0,0,0,0,1,0,6,201,min,1,3
krishawn_hogan,krishawn,hogan,marian_in,wr,2017,74.63,222,9.88,32.13,4.56,13,36.5,124,6.74,4.21,0,0,0,0,0,0,0,0,13,337,udfa,0,5
colin_holba,colin,holba,louisville,fb_te,2017,76.38,248,9.63,33.63,5.19,,28,115,,,0,0,0,1,0,0,1,1,6,213,pit,1,3
mack_hollins,mack,hollins,north_carolina,wr,2017,75.75,221,9.75,33.25,4.53,,,,,,0,0,0,1,1,1,1,1,4,118,phi,1,3
elijah_hood,elijah,hood,north_carolina,rb,2017,71.75,232,9.38,30.38,,18,,,,4.34,0,0,1,0,1,1,1,0,7,242,oak,1,3
malik_hooker,malik,hooker,ohio_state,db,2017,73.38,206,10.75,32.25,,,,,,,0,0,1,1,1,1,1,1,1,15,ind,1,1
bug_howard,bug,howard,north_carolina,wr,2017,75.63,221,10.38,33.13,4.58,,37.5,119,6.95,4.14,0,0,0,1,0,0,0,0,13,337,udfa,0,5
oj_howard,oj,howard,alabama,fb_te,2017,77.63,251,10,33.75,4.51,22,30,121,6.85,4.16,0,0,0,0,0,0,0,0,1,19,tb,1,1
marlon_humphrey,marlon,humphrey,alabama,lb,2017,72.25,197,8.75,32.25,4.41,10,,125,6.75,4.28,0,0,0,0,1,0,0,0,1,16,bal,1,1
hayden_hunt,hayden,hunt,colorado_state,k_p,2017,71.75,212,9.25,29.88,,,,,,,0,0,1,1,1,1,1,1,13,337,udfa,0,5
kareem_hunt,kareem,hunt,toledo,rb,2017,70.5,216,9.63,31.38,4.62,18,36.5,119,,,0,0,0,0,0,0,1,1,3,86,kc,1,2
danny_isidora,danny,isidora,miami_fl,ol,2017,75.25,306,9.88,33,5.03,26,29,94,8.13,4.9,0,0,0,0,0,0,0,0,5,180,min,1,3
adoree_jackson,adoree,jackson,southern_california,lb,2017,69.75,186,9.25,31.38,4.42,,36,122,,,0,0,0,1,0,0,1,1,13,337,udfa,0,5
eddie_jackson,eddie,jackson,alabama,db,2017,72,201,9.25,32.25,,10,,,,4.2,0,0,1,0,1,1,1,0,4,112,chi,1,3
blake_jarwin,blake,jarwin,oklahoma_state,fb_te,2017,77,248,,,,,,,,4.33,1,1,1,1,1,1,1,0,13,337,udfa,0,5
lorenzo_jerome,lorenzo,jerome,st._francis_pa,db,2017,70.5,204,8.63,30.63,4.7,11,,,7.63,4.68,0,0,0,0,1,1,0,0,13,337,udfa,0,5
dorian_johnson,dorian,johnson,pittsburgh,ol,2017,76.63,300,10.88,35.25,5.27,21,30,114,8.39,5.09,0,0,0,0,0,0,0,0,4,115,ari,1,3
jadar_johnson,jadar,johnson,clemson,db,2017,72.5,206,9.25,32,4.6,19,33,119,6.9,4.2,0,0,0,0,0,0,0,0,13,337,udfa,0,5
jaleel_johnson,jaleel,johnson,iowa,dl,2017,74.88,316,9.63,33.25,5.38,19,28,100,7.64,4.75,0,0,0,0,0,0,0,0,4,109,min,1,3
john_johnson,john,johnson,boston_college,db,2017,72.63,208,9.88,32,4.61,14,37,119,6.72,4.18,0,0,0,0,0,0,0,0,3,91,lar,1,2
roderick_johnson,roderick,johnson,florida_state,ol,2017,78.63,298,10.75,36,,,,,,5.17,0,0,1,1,1,1,1,0,5,160,cle,1,3
cameron_johnston,cameron,johnston,ohio_state,k_p,2017,71.25,194,9,31,4.92,,,,,,0,0,0,1,1,1,1,1,13,337,udfa,0,5
aaron_jones,aaron,jones,texas-el_paso,rb,2017,69.13,208,9.5,32.5,4.56,16,37.5,127,6.82,4.2,0,0,0,0,0,0,0,0,5,182,gb,1,3
dj_jones,dj,jones,mississippi,dl,2017,72.63,319,10.25,32.5,5.04,25,28.5,108,7.73,4.66,0,0,0,0,0,0,0,0,6,198,sf,1,3
jarron_jones,jarron,jones,notre_dame,dl,2017,77.63,316,10.5,35.5,5.33,22,20.5,,,4.53,0,0,0,0,0,1,1,0,13,337,udfa,0,5
josh_jones,josh,jones,north_carolina_state,db,2017,73.25,220,9.38,32,4.41,20,37.5,132,,4.27,0,0,0,0,0,0,1,0,2,61,gb,1,2
nazair_jones,nazair,jones,north_carolina,dl,2017,76.63,304,10.88,34.63,5.11,,24.5,101,7.93,,0,0,0,1,0,0,0,1,3,102,sea,1,2
sidney_jones,sidney,jones,washington,lb,2017,71.75,186,9.38,31.5,4.47,,33.5,123,7.02,4.28,0,0,0,1,0,0,0,0,2,43,phi,1,2
zay_jones,zay,jones,east_carolina_nc,wr,2017,73.88,201,9,32.5,4.45,15,36.5,133,6.79,4.01,0,0,0,0,0,0,0,0,2,37,buf,1,2
brad_kaaya,brad,kaaya,miami_fl,qb,2017,75.75,214,9.75,32,,,,,,,0,0,1,1,1,1,1,1,6,215,det,1,3
kyle_kalis,kyle,kalis,michigan,ol,2017,76,308,10.25,32.88,,,,,,4.62,0,0,1,1,1,1,1,0,13,337,udfa,0,5
alvin_kamara,alvin,kamara,tennessee,rb,2017,69.75,214,9.25,32.75,4.56,15,39.5,131,,4.56,0,0,0,0,0,0,1,0,3,67,no,1,2
