,combine_year,player_name,first_name,last_name,college,position,height_inches,weight_lbs,hand_size_inches,arm_length_inches,40_yard_dash,bench_press_reps,vertical_leap_inches,broad_jump_inches,3_cone_drill,20_yard_shuttle,60_yard_shuttle,hand_size_inches_missed,arm_length_inches_missed,40_yard_dash_missed,bench_press_reps_missed,vertical_leap_inches_missed,broad_jump_inches_missed,3_cone_drill_missed,20_yard_shuttle_missed,60_yard_shuttle_missed
68,2017,keionta davis,keionta,davis,tennessee-chattanooga,dl,75.0,271,9.5,34.0,,,,,,4.46,,0,0,1,1,1,1,1,0,1
69,2017,kevin davis,kevin,davis,colorado_state,lb,73.75,235,10.25,32.38,4.91,11.0,30.5,110.0,7.18,4.5,,0,0,0,0,0,0,0,0,1
70,2017,robert davis,robert,davis,georgia_state,wr,74.75,219,9.63,33.0,4.44,19.0,41.0,136.0,6.82,4.28,11.77,0,0,0,0,0,0,0,0,0
71,2017,dion dawkins,dion,dawkins,temple,ol,75.88,314,9.88,35.0,5.11,26.0,26.0,106.0,7.3,4.78,,0,0,0,0,0,0,0,0,1
72,2017,matt dayes,matt,dayes,north_carolina_state,rb,68.63,205,10.5,30.0,,18.0,28.0,109.0,,,,0,0,1,0,0,0,1,1,1
73,2017,treston decoud,treston,decoud,oregon_state,lb,73.75,206,9.25,33.0,4.62,11.0,31.0,116.0,,,,0,0,0,0,0,0,1,1,1
74,2017,jj dielman,jj,dielman,utah,ol,76.75,309,10.0,32.25,,27.0,,,,4.84,,0,0,1,0,1,1,1,0,1
75,2017,joshua dobbs,joshua,dobbs,tennessee,qb,75.25,216,9.25,32.63,4.64,,33.0,122.0,6.75,4.31,,0,0,0,1,0,0,0,0,1
76,2017,dylan donahue,dylan,donahue,west_georgia,dl,74.63,248,9.0,30.25,4.75,26.0,29.5,116.0,7.02,,,0,0,0,0,0,0,0,1,1
77,2017,rasul douglas,rasul,douglas,west_virginia,lb,74.0,209,9.25,32.38,4.59,16.0,33.5,120.0,6.97,4.26,,0,0,0,0,0,0,0,0,1
78,2017,jessamen dunker,jessamen,dunker,tennessee_state,ol,76.13,318,10.0,33.5,4.98,23.0,28.5,108.0,,4.13,11.2,0,0,0,0,0,0,1,0,0
79,2017,malachi dupre,malachi,dupre,louisiana_state,wr,74.13,196,9.0,31.5,4.52,11.0,39.5,135.0,7.19,4.26,,0,0,0,0,0,0,0,0,1
80,2017,travin dural,travin,dural,louisiana_state,wr,73.0,202,9.0,32.0,4.57,,30.5,116.0,7.29,4.55,,0,0,0,1,0,0,0,0,1
81,2017,ken ekanem,ken,ekanem,virginia_tech,dl,74.63,257,10.5,32.0,4.88,,30.5,115.0,7.38,4.4,,0,0,0,1,0,0,0,0,1
82,2017,corn elder,corn,elder,miami_fl,lb,70.13,183,8.75,31.25,4.55,,,,,,,0,0,0,1,1,1,1,1,1
83,2017,pat elflein,pat,elflein,ohio_state,ol,74.75,303,9.75,33.25,5.32,22.0,23.5,99.0,7.94,4.71,,0,0,0,0,0,0,0,0,1
84,2017,jake elliott,jake,elliott,memphis,k_p,69.25,167,9.0,29.0,4.79,,,,,,,0,0,0,1,1,1,1,1,1
85,2017,jermaine eluemunor,jermaine,eluemunor,texas_a&m,ol,75.63,332,9.5,33.25,5.22,34.0,,,,,,0,0,0,0,1,1,1,1,1
86,2017,darius english,darius,english,south_carolina,lb,78.0,245,,,,,,,,4.94,,1,1,1,1,1,1,1,0,1
87,2017,evan engram,evan,engram,mississippi,fb_te,75.13,234,10.0,33.5,4.42,19.0,36.0,125.0,6.92,4.23,,0,0,0,0,0,0,0,0,1
88,2017,amba etta-tawo,amba,etta-tawo,syracuse,wr,73.25,208,9.13,32.0,4.49,14.0,31.0,126.0,6.95,4.32,,0,0,0,0,0,0,0,0,1
89,2017,jerod evans,jerod,evans,virginia_tech,qb,74.63,232,9.38,33.13,4.8,,26.5,112.0,,4.41,,0,0,0,1,0,0,1,0,1
90,2017,justin evans,justin,evans,texas_a&m,db,72.0,199,9.75,32.0,,14.0,,,,,,0,0,1,0,1,1,1,1,1
91,2017,gerald everett,gerald,everett,south_alabama,fb_te,74.75,239,8.5,33.0,4.62,22.0,37.5,126.0,6.99,4.33,11.57,0,0,0,0,0,0,0,0,0
92,2017,dan feeney,dan,feeney,indiana,ol,76.0,305,10.25,33.38,5.24,26.0,28.0,101.0,7.52,4.68,,0,0,0,0,0,0,0,0,1
93,2017,devonte fields,devonte,fields,louisville,lb,74.38,236,9.0,32.38,4.72,,34.0,124.0,7.4,4.88,,0,0,0,1,0,0,0,0,1
94,2017,tarean folston,tarean,folston,notre_dame,rb,69.0,214,,,,,,,,4.2,11.53,1,1,1,1,1,1,1,0,0
95,2017,isaiah ford,isaiah,ford,virginia_tech,wr,73.25,194,9.25,32.63,4.61,14.0,35.5,127.0,6.94,4.34,,0,0,0,0,0,0,0,0,1
96,2017,rudy ford,rudy,ford,auburn,db,71.13,205,8.88,30.0,,20.0,,,,4.21,11.22,0,0,1,0,1,1,1,0,0
97,2017,donta foreman,donta,foreman,texas,rb,72.25,233,10.13,31.38,,18.0,,,,4.28,,0,0,1,0,1,1,1,0,1
98,2017,reuben foster,reuben,foster,alabama,lb,72.25,229,10.25,32.38,,,,,,,,0,0,1,1,1,1,1,1,1
99,2017,leonard fournette,leonard,fournette,louisiana_state,rb,72.13,240,9.25,31.63,4.51,,28.5,,,,,0,0,0,1,0,1,1,1,1
100,2017,kyle fuller,kyle,fuller,baylor,ol,76.75,307,9.38,32.88,5.24,23.0,26.0,96.0,7.71,4.84,,0,0,0,0,0,0,0,0,1
101,2017,wayne gallman,wayne,gallman,clemson,rb,72.25,215,9.13,32.63,4.6,21.0,29.5,120.0,7.17,4.28,11.92,0,0,0,0,0,0,0,0,0
102,2017,antonio garcia,antonio,garcia,troy_al,ol,78.38,302,9.88,33.38,5.15,24.0,31.0,108.0,7.98,4.94,,0,0,0,0,0,0,0,0,1
103,2017,myles garrett,myles,garrett,texas_a&m,dl,76.25,272,10.25,35.25,4.64,33.0,41.0,128.0,,4.2,11.43,0,0,0,0,0,0,1,0,0
104,2017,ben gedeon,ben,gedeon,michigan,lb,73.63,244,10.0,32.63,4.75,27.0,34.5,119.0,6.98,4.39,11.84,0,0,0,0,0,0,0,0,0
