full_name,first_name,last_name,combine_year,college,position,height_inches,weight_lbs,hand_size_inches,arm_length_inches,40_yard_dash,bench_press_reps,vertical_leap_inches,broad_jump_inches,3_cone_drill,20_yard_shuttle,60_yard_shuttle
marlon_humphrey,marlon,humphrey,2017,alabama,lb,72.25,197,8.75,32.25,4.41,10,,125,6.75,4.28,
hayden_hunt,hayden,hunt,2017,colorado_state,k_p,71.75,212,9.25,29.88,,,,,,,
kareem_hunt,kareem,hunt,2017,toledo,rb,70.5,216,9.63,31.38,4.62,18,36.5,119,,,
danny_isidora,danny,isidora,2017,miami_fl,ol,75.25,306,9.88,33,5.03,26,29,94,8.13,4.9,
adoree_jackson,adoree,jackson,2017,southern_california,lb,69.75,186,9.25,31.38,4.42,,36,122,,,
eddie_jackson,eddie,jackson,2017,alabama,db,72,201,9.25,32.25,,10,,,,4.2,11.5
blake_jarwin,blake,jarwin,2017,oklahoma_state,fb_te,77,248,,,,,,,,4.33,12.06
lorenzo_jerome,lorenzo,jerome,2017,st._francis_pa,db,70.5,204,8.63,30.63,4.7,11,,,7.63,4.68,11.57
dorian_johnson,dorian,johnson,2017,pittsburgh,ol,76.63,300,10.88,35.25,5.27,21,30,114,8.39,5.09,
jadar_johnson,jadar,johnson,2017,clemson,db,72.5,206,9.25,32,4.6,19,33,119,6.9,4.2,
jaleel_johnson,jaleel,johnson,2017,iowa,dl,74.88,316,9.63,33.25,5.38,19,28,100,7.64,4.75,
john_johnson,john,johnson,2017,boston_college,db,72.63,208,9.88,32,4.61,14,37,119,6.72,4.18,
roderick_johnson,roderick,johnson,2017,florida_state,ol,78.63,298,10.75,36,,,,,,5.17,
cameron_johnston,cameron,johnston,2017,ohio_state,k_p,71.25,194,9,31,4.92,,,,,,
aaron_jones,aaron,jones,2017,texas-el_paso,rb,69.13,208,9.5,32.5,4.56,16,37.5,127,6.82,4.2,
dj_jones,dj,jones,2017,mississippi,dl,72.63,319,10.25,32.5,5.04,25,28.5,108,7.73,4.66,
jarron_jones,jarron,jones,2017,notre_dame,dl,77.63,316,10.5,35.5,5.33,22,20.5,,,4.53,
josh_jones,josh,jones,2017,north_carolina_state,db,73.25,220,9.38,32,4.41,20,37.5,132,,4.27,
nazair_jones,nazair,jones,2017,north_carolina,dl,76.63,304,10.88,34.63,5.11,,24.5,101,7.93,,
sidney_jones,sidney,jones,2017,washington,lb,71.75,186,9.38,31.5,4.47,,33.5,123,7.02,4.28,
zay_jones,zay,jones,2017,east_carolina_nc,wr,73.88,201,9,32.5,4.45,15,36.5,133,6.79,4.01,
brad_kaaya,brad,kaaya,2017,miami_fl,qb,75.75,214,9.75,32,,,,,,,
kyle_kalis,kyle,kalis,2017,michigan,ol,76,308,10.25,32.88,,,,,,4.62,
alvin_kamara,alvin,kamara,2017,tennessee,rb,69.75,214,9.25,32.75,4.56,15,39.5,131,,4.56,11.78
damontae_kazee,damontae,kazee,2017,san_diego_state,lb,70.25,184,8.63,30.88,4.54,11,34,124,,,
chad_kelly,chad,kelly,2017,mississippi,qb,74,224,,,,,,,,4.08,
desmond_king,desmond,king,2017,iowa,lb,70.25,201,9.63,31.13,,14,34,117,6.67,4.18,12.06
kevin_king,kevin,king,2017,washington,lb,75.25,200,9.5,32,4.43,11,39.5,,6.56,3.89,
george_kittle,george,kittle,2017,iowa,fb_te,75.75,247,9.25,33.13,4.52,18,35,132,,4.59,12.41
deshone_kizer,deshone,kizer,2017,notre_dame,qb,76.13,233,9.88,33.13,4.83,,30.5,107,7.4,4.53,
