,height_inches,weight_lbs,hand_size_inches,arm_length_inches,40_yard_dash,bench_press_reps,vertical_leap_inches,broad_jump_inches,3_cone_drill,20_yard_shuttle,hand_size_inches_missed,arm_length_inches_missed,40_yard_dash_missed,bench_press_reps_missed,vertical_leap_inches_missed,broad_jump_inches_missed,3_cone_drill_missed,20_yard_shuttle_missed,draft_status
177,74.88,235,10.38,34.75,4.74,14.0,41.0,116.0,7.04,4.38,0,0,0,0,0,0,0,0,1
178,75.5,294,10.75,33.88,4.87,28.0,35.0,116.0,7.607946104122237,4.428433897533361,0,0,0,0,0,0,1,1,1
179,79.63,287,10.63,35.75,4.96,23.0,32.0,123.0,7.53,4.56,0,0,0,0,0,0,0,0,0
180,73.13,246,10.13,33.75,4.86,22.69795167582199,32.0,119.0,7.24,4.4,0,0,0,1,0,0,0,0,0
181,75.88,314,9.63,33.25,5.334215032803723,23.0,26.344708102186026,98.99518576005042,8.165714856970006,4.757746298126557,0,0,1,0,1,1,1,1,1
182,76.25,273,10.0,35.5,4.63,20.0,35.5,121.0,7.26,4.5,0,0,0,0,0,0,0,0,1
183,76.63,265,10.13,34.13,4.9,23.0,33.0,120.0,7.38,4.53,0,0,0,0,0,0,0,0,0
184,76.5,273,9.63,32.25,5.025605877867933,24.468504049449344,30.900102759585323,110.78244573478204,7.7337971664647664,4.429215625856515,0,0,1,1,1,1,1,1,0
185,74.13,265,9.5,32.25,4.99,17.0,28.0,108.0,7.74,4.69,0,0,0,0,0,0,0,0,0
186,73.13,299,9.38,33.38,5.03,28.0,34.5,118.0,7.44,4.59,0,0,0,0,0,0,0,0,1
187,74.63,327,9.5,33.63,5.33,30.0,29.5,99.0,7.9,4.71,0,0,0,0,0,0,0,0,1
188,76.75,294,10.5,33.25,5.3,30.0,28.0,111.0,7.75,4.9,0,0,0,0,0,0,0,0,0
189,74.88,307,10.5,33.38,5.21,27.097179137921827,31.0,104.0,7.77,4.75,0,0,0,1,0,0,0,0,1
190,75.38,303,9.38,33.0,5.02,24.0,32.0,113.0,8.28,4.82,0,0,0,0,0,0,0,0,1
191,76.63,324,10.38,36.0,5.36,30.0,28.5,100.0,8.42,4.83,0,0,0,0,0,0,0,0,0
192,75.63,307,10.5,34.5,5.2,22.0,26.0,106.0,7.8,4.74,0,0,0,0,0,0,0,0,1
193,75.88,303,9.88,33.0,5.19,26.055937332400205,26.0,105.0,7.4,4.52,0,0,0,1,0,0,0,0,1
194,77.38,324,10.75,34.75,5.22,22.0,30.5,112.0,8.05518994456127,4.700868852624447,0,0,0,0,0,0,1,1,1
195,75.5,298,9.88,33.75,5.15,23.0,25.0,100.37375075618317,7.9,4.97,0,0,0,0,0,1,0,0,0
196,75.38,305,9.862945778216769,33.05092866505663,5.39,27.0,24.0,103.0,7.89,4.76,1,1,0,0,0,0,0,0,0
197,78.75,329,9.939030125745969,34.41260703955624,5.42,17.0,23.0,92.0,8.36,5.12,1,1,0,0,0,0,0,0,0
198,74.5,251,10.75,33.0,4.8,25.0,35.0,121.0,7.21,4.35,0,0,0,0,0,0,0,0,1
199,77.63,301,10.13,34.13,4.94,31.0,31.5,115.0,7.7,4.44,0,0,0,0,0,0,0,0,1
